1,"ABUY(USA)","new purchases of foreign assets","gdp","USA",
2,"ABUY(ROW)","new purchases of foreign assets","gdp","ROW",
3,"ASSE(USA,USA)","assets in each currency, including own","usgdp","UU",
4,"ASSE(USA,ROW)","assets in each currency, including own","usgdp","UU",
5,"ASSE(ROW,USA)","assets in each currency, including own","usgdp","UU",
6,"ASSE(ROW,ROW)","assets in each currency, including own","usgdp","UU",
7,"ASSU(USA)","assets held by region, in US$","gdp","USA",
8,"ASSU(ROW)","assets held by region, in US$","gdp","ROW",
9,"BCOL(USA)","Quads from coal","btu","USA",
10,"BCOL(ROW)","Quads from coal","btu","ROW",
11,"BCT(g01,USA,USA)","unit border tax adjustment","dollar","USA",
12,"BCT(g01,USA,ROW)","unit border tax adjustment","dollar","USA",
13,"BCT(g01,ROW,USA)","unit border tax adjustment","dollar","ROW",
14,"BCT(g01,ROW,ROW)","unit border tax adjustment","dollar","ROW",
15,"BCT(g02,USA,USA)","unit border tax adjustment","dollar","USA",
16,"BCT(g02,USA,ROW)","unit border tax adjustment","dollar","USA",
17,"BCT(g02,ROW,USA)","unit border tax adjustment","dollar","ROW",
18,"BCT(g02,ROW,ROW)","unit border tax adjustment","dollar","ROW",
19,"BGAS(USA)","Quads from gas","btu","USA",
20,"BGAS(ROW)","Quads from gas","btu","ROW",
21,"BOIL(USA)","Quads from oil","btu","USA",
22,"BOIL(ROW)","Quads from oil","btu","ROW",
23,"BOND(USA)","bonds","gdp","USA",
24,"BOND(ROW)","bonds","gdp","ROW",
25,"CAP(a01,USA)","capital stock","gdp","USA",
26,"CAP(a01,ROW)","capital stock","gdp","ROW",
27,"CAP(a02,USA)","capital stock","gdp","USA",
28,"CAP(a02,ROW)","capital stock","gdp","ROW",
29,"CAPY(USA)","raw invt capital stock","gdp","USA",
30,"CAPY(ROW)","raw invt capital stock","gdp","ROW",
31,"CAPZ(USA)","household capital stock","gdp","USA",
32,"CAPZ(ROW)","household capital stock","gdp","ROW",
33,"CNPE(USA)","household demand for energy","gdp","USA",
34,"CNPE(ROW)","household demand for energy","gdp","ROW",
35,"CNPK(USA)","household capital services","gdp","USA",
36,"CNPK(ROW)","household capital services","gdp","ROW",
37,"CNPL(USA)","household demand for labor","gdp","USA",
38,"CNPL(ROW)","household demand for labor","gdp","ROW",
39,"CNPO(USA)","household demand for material","gdp","USA",
40,"CNPO(ROW)","household demand for material","gdp","ROW",
41,"CON(g01,USA)","household demand for goods","gdp","USA",
